Deal Name,Amount,Amount Currency,Deal Stage,Pipeline,Close Date,Deal owner
Multipoint Madrid 3 S.A. - Factorial to Partner (less 20 project),106.40,EUR,Closed Won,Partners Distribution,2026-03-16T00:00:00.000Z,Sergio Latorre
CIMA Grupo Oulton - AR - Polponet,255.84,USD,Closed Won,Partners Distribution,2025-10-22T00:00:00.000Z,Diego Ricardo Pineda Jurado
PATAGONIA DREAMS - AR - EFACTORY,357.48,EUR,Closed Won,Partners Distribution,2025-06-30T00:00:00.000Z,Daniela Orozco Parra
PATAGONIA DREAMS - AR - EFACTORY,264.89,USD,Closed Won,Partners Distribution,2025-05-09T00:00:00.000Z,Daniela Orozco Parra
CAUX NEXT - ( projet interne ),303.30,EUR,Closed Won,Partners Distribution,2025-12-11T00:00:00.000Z,Adrian Martínez
Faire - GM Integra,96,EUR,Closed Won,Partners Distribution,2025-01-21T16:21:33.158Z,Mario Jiménez
Firmway - Factorial to Partner (less 20 project),70.60,EUR,Closed Won,Partners Distribution,2026-03-04T00:00:00.000Z,Leonhard Zeus
New Opportunity - Gruppo Animalia 4 - Run Time,13077.10,EUR,Closed Won,Partners Distribution,2026-03-31T00:00:00.000Z,Francesca Costa
RewAir España - from Santander,869.40,EUR,Closed Won,Partners Distribution,2026-05-21T00:00:00.000Z,Jose Donis
Diacom - New Deal,585.65,EUR,Closed Won,Partners Distribution,2025-07-18T00:00:00.000Z,Conall Doyle
Zunibal - SANTANDER,1034.18,EUR,Closed Won,Partners Distribution,2025-09-16T00:00:00.000Z,Xavier Fortuny
McLEAN SERVICIOS INTEGRALES - Santander,448.01,EUR,Closed Won,Partners Distribution,2025-11-18T00:00:00.000Z,Xavier Fortuny
Giaconia  - TIM - Clemps,1198.56,EUR,Closed Won,Partners Distribution,2025-09-26T00:00:00.000Z,Nunzio Fumo
Grupo Costa Este - Santander,2932.50,EUR,Closed Won,Partners Distribution,2025-11-27T00:00:00.000Z,Pol Bartolomé
JOSÉ CYMBRON (Winsig),170.62,EUR,Closed Won,Partners Distribution,2025-11-26T00:00:00.000Z,Marta Almeida
Big Mamma (Talent)- Santander + Disc Expir 60 days,2261.43,EUR,Closed Won,Partners Distribution,2025-05-08T00:00:00.000Z,Carlos Sanchez
PeriGuard GmbH from Introw,518.67,EUR,Closed Won,Partners Distribution,2026-01-29T00:00:00.000Z,Maren Grillwitzer
HYDROCHEM (ML) - Noous,1091.95,EUR,Closed Won,Partners Distribution,2025-02-11T00:00:00.000Z,Máximo Abizanda
BPA Kathrin Gerhardt GmbH - Deutsche Telekom,988,EUR,Closed Won,Partners Distribution,2026-03-16T00:00:00.000Z,Leonhard Zeus
VIGO CHURROS SL - Santander - Universal,63.25,EUR,Closed Won,Partners Distribution,2025-11-26T11:50:09.585Z,Belen Lombardia
"POLLOS PLANES, S.L.- Laberit  - Laberit",1147.50,EUR,Closed Won,Partners Distribution,2025-05-01T22:00:00.000Z,Jose Donis
FRIGORIFICOS ANDALUCES DE CONSERVAS DE CARNE SA - Factorial  - Laberit,1125,EUR,Closed Won,Partners Distribution,2025-12-30T00:00:00.000Z,Eduardo Zafra
Academia Guiu 1892 SL-  Santander - Universal,259.50,EUR,Closed Won,Partners Distribution,2025-11-25T00:00:00.000Z,Belen Lombardia
DL-Law Avvocati Giuslavoristi- Factorial to Partner ( less 20 project),106.40,EUR,Closed Won,Partners Distribution,2025-09-26T13:39:15.030Z,Giuditta Francesca Speranza Giunta
"Kosswell Cosmetic, S.L. from Introw",163.80,EUR,Closed Won,Partners Distribution,2025-11-29T14:58:00.265Z,Pol Bartolomé
Adheris - Licence Partner,1047.02,EUR,Closed Won,Partners Distribution,2025-11-28T00:00:00.000Z,Hugo Legrand
Neocos Laboratorios from Introw,819,EUR,Closed Won,Partners Distribution,2025-11-28T00:00:00.000Z,Pol Bartolomé
TRANSPORTES Y MUDANZAS CARIÑO SA-  Santander,1103.23,EUR,Closed Won,Partners Distribution,2025-05-22T00:00:00.000Z,Lucía Guerrero
SUISCA PROJECTS-  Santander,411.07,EUR,Closed Won,Partners Distribution,2025-03-31T00:00:00.000Z,Pol Bartolomé
RESH S.R.L-  TIM,1725.02,EUR,Closed Won,Partners Distribution,2025-11-27T00:00:00.000Z,Nunzio Fumo
MARASON BUS SL- Global4,659.33,EUR,Closed Won,Partners Distribution,2025-08-29T00:00:00.000Z,Xavier Fortuny
Fricke Grün - Grünanlagenpflege Andreas Fricke e.K.- Channel Referral Partner DACH,1012.50,EUR,Closed Won,Partners Distribution,2026-02-24T00:00:00.000Z,Elisa Delchmann
ALIMAK GROUP - Adlanter,333.90,EUR,Closed Won,Partners Distribution,2025-12-31T00:00:00.000Z,Daniel Terrasa
TTSP-HWP - Partner newvision,3620.48,EUR,Closed Won,Partners Distribution,2026-02-25T00:00:00.000Z,Enrique Gautier Bolz
APROINLA-  Santander INSTITUCIONES,167.40,EUR,Closed Won,Partners Distribution,2026-02-18T00:00:00.000Z,Roberto Morán
Malizia from Introw,682.44,EUR,Closed Won,Partners Distribution,2025-12-23T00:00:00.000Z,Nunzio Fumo
stork-umwelt - New Deal,8031.10,EUR,Closed Won,Partners Distribution,2026-01-30T00:00:00.000Z,Katrin Virtbauer
chillgaming - New Deal,2494.35,USD,Closed Won,Partners Distribution,2025-08-14T19:09:27.689Z,Jack Carey
National Foundation for Educational Research - New Deal,4541.65,GBP,Closed Won,Partners Distribution,2025-05-30T16:25:52.793Z,Jack Carey
Fondo Pegaso from Introw,360.80,EUR,Closed Won,Partners Distribution,2025-10-16T00:00:00.000Z,Nunzio Fumo
"HERMANOS FERNANDEZ LOPEZ, S.A.U.-  Santander",1987.19,EUR,Closed Won,Partners Distribution,2025-05-30T00:00:00.000Z,Roberto Morán
FENIE ENERGIA (Grupo AITANA) - Grupo AITANA ,2709.55,EUR,Closed Won,Partners Distribution,2025-07-23T00:00:00.000Z,Pol Bartolomé
